	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
0	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	#	.	.	.	#	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	I	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	I	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
4	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	M	.
5	.	.	.	.	.	.	.	.	.	.	.	.	h	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	#	.	A	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6	.	.	7	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	#	.	I	.	#	.	.	.	.	.	.	.	h	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.
7	.	.	#	.	.	.	7	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	M	.	.	.	.	9	.	.	.
8	.	o	.	.	.	.	.	U	.	.	#	.	.	.	.	.	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.	.	#	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.
9	.	.	.	.	.	#	.	.	.	.	.	#	.	.	#	#	.	.	.	.	#	.	#	.	.	.	.	#	.	.	.	.	#	.	#	.	.	.	O	.	.	.	.	.	.	.	.	.	.	.
10	#	.	.	.	c	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	#	.	J	.	.	#	.	.	.	.	.	.	.	.	#	.	.	.	.	#	.	.	.	#	.	.	.	A	.	.
11	.	.	.	.	.	#	.	.	.	.	.	.	#	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	#	.	.	.	.	.	.	.
12	.	.	.	R	#	.	.	7	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	#	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
